transform,video_id,spread,w2_barycenter,w2_mean,gap_pct,bary_wins
Softmax tau=0.5,video_15,72.71134210526316,45.629599999999996,50.838800000000006,10.246504638189748,True
Softmax tau=0.5,video_16,67.68522105263158,37.18920000000001,46.138799999999996,19.397123462248672,True
Softmax tau=0.5,video_17,75.47464210526316,36.2692,46.8294,22.550363660435544,True
Softmax tau=0.5,video_18,61.134800000000006,25.825200000000002,32.59439999999999,20.767984684485654,True
Softmax tau=0.5,video_19,75.33608421052631,25.2414,28.4848,11.38642363646577,True
Softmax tau=0.5,video_20,65.60382631578946,52.904999999999994,58.76959999999999,9.978968718521134,True
Softmax tau=0.5,video_21,86.6526210526316,40.29600000000001,51.2302,21.343270180479475,True
Softmax tau=0.5,video_22,64.62074210526316,39.616,48.307,17.991181402281246,True
Softmax tau=0.5,video_23,75.24792105263158,41.8082,54.242200000000004,22.92311152571246,True
Softmax tau=0.5,video_24,69.43421578947368,25.7272,30.5736,15.85158437344637,True
Softmax tau=0.5,video_25,87.81385789473686,55.243399999999994,68.5894,19.457817097102474,True
Softmax tau=0.5,video_26,75.70393684210526,38.4372,54.104200000000006,28.957086510843904,True
Softmax tau=0.5,video_27,97.05658421052634,83.59960000000001,96.0634,12.974556386719595,True
Softmax tau=0.5,video_28,51.05209473684211,40.035199999999996,42.8354,6.537116497102873,True
Softmax tau=0.5,video_29,43.24257894736842,28.185999999999996,30.8294,8.57428298961382,True
Softmax tau=0.5,video_30,93.09467368421052,73.2662,84.8108,13.61218146745462,True
Softmax tau=0.5,video_31,63.08194210526315,28.2254,36.5518,22.779726306228422,True
Softmax tau=0.5,video_32,45.220000000000006,19.043200000000002,23.3642,18.494106367861935,True
Softmax tau=0.5,video_33,79.9807894736842,50.07000000000001,57.2546,12.548511385984698,True
Softmax tau=0.5,video_34,77.89429999999999,57.41180000000001,69.1258,16.945915996632216,True
Softmax tau=0.5,video_35,68.35777368421051,45.97580000000001,56.1222,18.079120205551444,True
